ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
2020-04-30,2656716.48,2205591.140086653,1746068.223037953,2660666.8408302427,Fitted,2628696.512,2595477.893451923,15.0,15.769874115548205,2025-03-22 17:57:08
2020-05-31,1516910.72,2098902.958408354,1625761.0426320294,2568334.706959814,Fitted,1940096.01,2459826.587459471,17.0,15.898435036840006,2025-03-22 17:57:08
2020-06-30,982266.28,1946486.4771659868,1481825.5785543246,2390552.755570038,Fitted,2529772.455,2497583.285041024,17.0,16.263846577114904,2025-03-22 17:57:08
2020-07-31,1229852.67,2196557.554994511,1705859.9763783126,2678164.5095271184,Fitted,1186189.639,2358405.8850039444,8.0,11.84168877832008,2025-03-22 17:57:08
2020-08-31,985374.84,1810512.978761374,1357309.884350396,2284115.7112835827,Fitted,2786112.2,2385208.4006693563,7.0,12.537921365009094,2025-03-22 17:57:08
2020-09-30,1422751.82,1699113.454904351,1226526.384083583,2112923.5958516705,Fitted,3094625.371,2591358.6645857296,13.0,15.32756634970321,2025-03-22 17:57:08
2020-10-31,1618674.85,1807294.2980501233,1369949.2102674446,2285104.6719302926,Fitted,1612281.29,2418994.310715062,15.0,15.591014961516363,2025-03-22 17:57:08
2020-11-30,1674978.67,1923205.9483799706,1433104.8967096668,2378093.1915259175,Fitted,2372503.355,2712209.9162614266,15.0,15.349025898777786,2025-03-22 17:57:08
2020-12-31,1541133.31,1896101.2506006262,1429057.190686792,2332281.7205103445,Fitted,2991259.893,2207551.1540663084,15.0,13.274887661811503,2025-03-22 17:57:08
2021-01-31,2091456.27,2145724.4240339114,1659089.3336795298,2598954.7884575822,Fitted,2419945.273,2753834.681884969,11.0,14.864955494919819,2025-03-22 17:57:08
2021-02-28,2011336.87,2023298.9842991387,1587418.1362919477,2491518.8380741393,Fitted,2147558.449,2630476.518029346,16.0,15.383639026324229,2025-03-22 17:57:08
2021-03-31,1823234.14,2072316.8122925637,1575173.0814717475,2551295.101718742,Fitted,3074563.702,2814444.8238205155,13.0,17.16539732332956,2025-03-22 17:57:08
2021-04-30,1694205.9,2214601.9730550456,1745930.1244363496,2673955.2776256953,Fitted,2425264.835,2618741.5660581524,20.0,16.27959137261971,2025-03-22 17:57:08
2021-05-31,2077831.93,2103169.0367235113,1667439.0080369767,2595175.132299064,Fitted,2520745.955,2505266.407625588,11.0,16.370454393711015,2025-03-22 17:57:08
2021-06-30,1468225.88,1957879.7444453684,1492846.9889426823,2427049.1379850092,Fitted,2725533.554,2524800.761727797,20.0,16.78377512376025,2025-03-22 17:57:08
2021-07-31,1566813.21,2211919.968080701,1781591.2405208063,2672399.139830124,Fitted,2766974.401,2395942.568446476,12.0,12.20466078177255,2025-03-22 17:57:08
2021-08-31,1434771.42,1813648.063366674,1305928.336381881,2260919.488434021,Fitted,2297292.832,2423468.390629051,13.0,13.089240639814856,2025-03-22 17:57:08
2021-09-30,2094795.68,1689547.1208238695,1232968.4423892843,2136733.710837649,Fitted,3165732.824,2638254.711833479,20.0,15.99268769356355,2025-03-22 17:57:08
2021-10-31,2004625.36,1813914.8150005003,1344916.282815098,2302592.0071508726,Fitted,2340832.344,2473560.8055733484,5.0,15.990063282367753,2025-03-22 17:57:08
2021-11-30,2174466.74,1936166.7940297348,1478675.1097671092,2406059.2858653935,Fitted,3144961.21,2735217.5256817644,19.0,15.799324488763109,2025-03-22 17:57:08
2021-12-31,2442210.88,1915341.7056448464,1422333.4919848146,2396501.973103596,Fitted,1478894.668,2238691.0583054484,7.0,13.61508598496303,2025-03-22 17:57:08
2022-01-31,2330815.38,2143277.304631137,1659123.475561368,2605199.178959951,Fitted,2716352.065,2777292.7248049406,10.0,15.529222864248139,2025-03-22 17:57:08
2022-02-28,2421085.36,2023312.62855339,1560173.066750342,2483576.152847719,Fitted,2439887.732,2688688.623569664,17.0,15.841110378742247,2025-03-22 17:57:08
