ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,TOT_PAID_ADJUSTED,TOT_PAID_ADJUSTED_NEW_SLOPE,TOT_PAID_ADJUSTED_FINAL,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED_LAGGED_FINAL
2016-12-31,2016,9,1247216.95,1766605.264,33,15,18,1664076.0834963524,1639044.8114182954,1743195.1139814183,1453386.65,54.0,1806592.931052795
2017-01-31,2016,10,2283660.72,3084823.166,46,14,32,2703479.22527444,2732180.9092009035,2778756.733102811,2096546.766,41.0,2454953.0524383243
2017-02-28,2016,11,2065107.68,1569254.32,30,8,22,2487885.5570525276,2505441.916682969,2095604.9527298887,1648925.19,42.0,2214309.080479801
2017-03-31,2016,12,1561699.4,1270808.493,28,6,22,1987436.648830615,1979121.815574341,1728522.2002863302,2296818.55,50.0,2201613.0147290407
2017-04-30,2017,1,1501834.04,2755812.218,45,13,32,1930530.6606087026,1919274.0169627746,2266405.525689124,2330669.011,44.0,2139772.2711205925
2017-05-31,2017,2,2452080.04,2387869.87,50,21,29,2883736.03238679,2921756.267216914,2693236.3308893046,2193039.19,42.0,2585700.4557467736
2017-06-30,2017,3,1977013.09,2397063.113,27,12,15,2411628.4541648775,2425242.6287183287,2282264.515963702,1764802.379,37.0,2173912.6076952596
2017-07-31,2017,4,2556370.52,3006947.783,49,22,27,2993945.255942965,3037662.8637389867,2929718.5261557186,2944021.215,36.0,2826876.3789051445
2017-08-31,2017,5,1885803.17,2672625.422,36,9,27,2326337.277721053,2335542.241981383,2384833.3073468287,2234798.69,29.0,2213965.3308232334
2017-09-30,2017,6,1953280.92,1497327.189,36,7,29,2396774.3994991397,2409620.6792543535,2069283.0560833141,1559861.258,40.0,2125655.287964605
2017-10-31,2017,7,1746813.75,2256027.323,42,10,32,2193266.6012772275,2195592.347536912,2233045.7917923266,1926779.928,39.0,2121704.72600544
2017-11-30,2017,8,1606243.9,2090420.503,44,10,34,2055656.123055315,2050867.9618474795,2125390.5067368546,3566603.692,33.0,2499217.6797580584
2017-12-31,2017,9,1625741.69,1267262.348,21,8,13,2078113.2848334028,2074486.0684383218,1724779.1449559655,1766605.264,46.0,2062183.166959254
2018-01-31,2017,10,2697441.94,3167225.47,49,10,39,3152772.9066114905,3204701.2642336804,3061321.0325030657,3084823.166,30.0,2910564.181849826
2018-02-28,2017,11,1615646.79,3607562.054,64,14,50,2073937.1283895778,2070094.0215267423,2734035.5397689296,1569254.32,28.0,1874565.9124954687
2018-03-31,2017,12,2145538.1,2431429.333,61,13,48,2606787.8101676656,2630490.9373791097,2639810.7507112464,1270808.493,45.0,2184434.5730292043
2018-04-30,2018,1,2153008.87,3239678.403,56,20,36,2617217.951945753,2641460.2754774275,2851797.756287295,2755812.218,50.0,2670480.3450805843
2018-05-31,2018,2,2101930.5,2203610.271,50,11,39,2569098.9537238404,2590853.7188573205,2472507.177009508,2387869.87,27.0,2373518.4290603134
2018-06-30,2018,3,2097268.44,1983393.376,47,19,28,2567396.2655019276,2589063.0085122874,2383963.322653125,2397063.113,49.0,2529644.98299757
2018-07-31,2018,4,2592867.81,1510168.665,36,8,28,3065955.0072800154,3113395.2291850066,2425022.7738486407,3006947.783,36.0,2883620.5320281545
2018-08-31,2018,5,2015054.33,2221267.368,44,19,25,2491100.8990581036,2508823.4789197342,2393622.324772982,2672625.422,36.0,2481037.9485955187
2018-09-30,2018,6,1222470.6,2877683.088,52,18,34,1701476.5408361908,1678378.7217640122,2232880.477352098,1497327.189,42.0,1755298.0827203228
2018-10-31,2018,7,2249711.87,2263179.778,51,18,33,2731677.182614278,2761836.587361719,2583063.9402563293,2256027.323,44.0,2538661.049920065
2018-11-30,2018,8,1939409.96,1731484.64,29,5,24,2424334.6443923656,2438605.677803594,2103661.4523955793,2090420.503,21.0,2166087.615830785
2018-12-31,2018,9,1482792.84,2767227.89,46,11,35,1970676.8961704534,1961495.6512052496,2298135.5213049836,1267262.348,49.0,1876921.074844051
2019-01-31,2018,10,2127225.02,3572884.661,66,21,45,2618068.447948541,2642354.7386979996,3024151.634243802,3167225.47,64.0,2892519.5116970893
2019-02-28,2018,11,2160835.26,3358937.97,57,10,47,2654638.0597266285,2680814.8521128367,2914447.3915996216,3607562.054,61.0,3022814.5523031754
2019-03-31,2018,12,2860021.31,4540530.886,92,15,77,3356783.481504716,3419258.364151299,3889953.7137306286,2431429.333,56.0,3004136.506520185
2019-04-30,2019,1,2311900.09,2690755.758,59,14,45,2811621.633282803,2845913.8441358986,2810931.1778003965,3239678.403,50.0,2917866.98490982
2019-05-31,2019,2,2282023.7,3335218.781,88,18,70,2784704.615060891,2817605.324486141,3198755.654819561,2203610.271,47.0,2571856.2941836086
2019-06-30,2019,3,2411533.35,2082052.161,44,19,25,2917173.636838979,2956922.4611419537,2575907.253784092,1983393.376,36.0,2498317.8259066283
2019-07-31,2019,4,2433979.15,2530530.32,46,8,38,2942578.8086170666,2983640.9779760353,2738198.9136903766,1510168.665,44.0,2425805.647827223
2019-08-31,2019,5,1665229.4,1925620.28,30,11,19,2176788.4303951534,2178262.3215897023,2038924.9431832554,2221267.368,52.0,2292541.90733761
2019-09-30,2019,6,1754382.48,1645811.62,27,9,18,2268900.882173241,2275136.6161215007,1981836.0617652882,2877683.088,51.0,2530891.773503065
2019-10-31,2019,7,1695773.84,2581391.757,50,22,28,2213251.613951329,2216610.504872218,2398720.0158169568,2263179.778,29.0,2163013.7886686507
2019-11-30,2019,8,2524529.51,2037140.015,44,21,23,3044966.6557294163,3091321.8643944566,2629633.311610343,1731484.64,46.0,2560064.877737322
2019-12-31,2019,9,2955954.39,2556454.233,37,8,29,3479350.907507504,3548162.032411089,2963486.322756304,2767227.89,66.0,3239447.8787545227
2020-01-31,2019,10,1996322.15,2908845.533,52,16,36,2522678.0392855913,2542033.030113086,2674056.365026635,3572884.661,57.0,2914972.4350015232
2020-02-29,2019,11,1289924.83,2303483.028,40,19,21,1819240.091063679,1802230.1732195886,2036212.4623444204,3358937.97,92.0,2726306.897770322
2020-03-31,2019,12,2616185.31,2728605.27,82,31,51,3148459.9428417664,3200165.3376084743,3164884.7467129943,4540530.886,59.0,3548356.450450105
2020-04-30,2020,1,2656716.48,2628696.512,73,15,58,3191950.484619854,3245904.1652287403,3093031.2410715283,2690755.758,88.0,3219641.2417731206
2020-05-31,2020,2,1516910.72,1940096.01,58,17,41,2055104.0963979415,2050287.3976353286,2180725.5532554896,3335218.781,44.0,2506643.8924568696
2020-06-30,2020,3,982266.28,2529772.455,63,17,46,1523419.0281760292,1491116.3528652252,2114015.3488435484,2082052.161,46.0,1865132.3782727062
2020-07-31,2020,4,1229852.67,1186189.639,32,8,24,1773964.7899541166,1754614.3213989232,1619660.7045771102,2530530.32,30.0,2019232.8566324473
2020-08-31,2020,5,985374.84,2786112.2,35,7,28,1532446.3317322042,1500610.3316557978,1994218.9086894142,1925620.28,27.0,1689721.8584595523
2020-09-30,2020,6,1422751.82,3094625.371,59,13,46,1972782.6835102916,1963710.299269035,2490990.2892669644,1645811.62,50.0,1998605.177576388
2020-10-31,2020,7,1618674.85,1612281.29,40,15,25,2171665.0852883793,2172874.1201763107,2014173.9144227814,2581391.757,44.0,2341789.1465273607
2020-11-30,2020,8,1674978.67,2372503.355,40,15,25,2230928.277066467,2235200.9802737487,2273403.9639715008,2037140.015,37.0,2160593.0742729697
2020-12-31,2020,9,1541133.31,2991259.893,54,15,39,2100042.2888445547,2097548.7136329496,2490927.4685758115,2556454.233,52.0,2352741.1628592336
2021-01-31,2020,10,2091456.27,2419945.273,46,11,35,2653324.6206226414,2679433.5134973396,2552919.667351029,2908845.533,40.0,2665256.987586098
2021-02-28,2020,11,2011336.87,2147558.449,52,16,36,2576164.5924007297,2598284.6225953875,2473796.0360677857,2303483.028,82.0,2737577.6688537793
2021-03-31,2020,12,1823234.14,3074563.702,44,13,31,2391021.234178817,2403570.0984591125,2596984.534742671,2728605.27,73.0,2704649.1054816437
2021-04-30,2021,1,1694205.9,2425264.835,62,20,42,2264952.3659569044,2270983.9775202996,2465402.398276464,2628696.512,58.0,2503203.461105574
2021-05-31,2021,2,2077831.93,2520745.955,45,11,34,2651537.767734992,2677554.2875123424,2575025.782063908,1940096.01,63.0,2534968.4510038164
2021-06-30,2021,3,1468225.88,2725533.554,56,20,36,2044891.0895130795,2039546.419429657,2396597.3735634093,2529772.455,32.0,2175495.540348703
2021-07-31,2021,4,1566813.21,2766974.401,55,12,43,2146437.791291167,2146342.676687933,2455233.2793979254,1186189.639,35.0,1846854.8154791736
2021-08-31,2021,5,1434771.42,2297292.832,53,13,40,2017355.3730692547,2010587.2173518578,2232062.125240643,2786112.2,59.0,2427241.784521797
2021-09-30,2021,6,2094795.68,3165732.824,51,20,31,2680339.004847342,2707844.432580066,2826833.776665503,3094625.371,40.0,2735196.398527461
2021-10-31,2021,7,2004625.36,2340832.344,34,5,29,2593128.0566254295,2616125.02959641,2411197.8239650982,1612281.29,40.0,2244633.472735633
2021-11-30,2021,8,2174466.74,3144961.21,54,19,35,2765928.8084035176,2797858.884248284,2887192.948983479,2372503.355,54.0,2661734.9789677896
2021-12-31,2021,9,2442210.88,1478894.668,35,7,28,3036632.320181605,3082556.6772671985,2393026.821895114,2991259.893,46.0,2933614.8600736926
