Code,Year,Gender,Table_5,Table_6_RoC
72,2005-10,T,6.166996700363722,-6.974325339556084
426,2005-10,T,0.390440611172282,
516,2005-10,T,-0.7417025022307286,6.992229242529778
710,2005-10,T,9.457810138879493,3.8838258222699635
748,2005-10,T,2.350329359198776,-2.3766624768937135
914,2005-10,T,2.2247168641917185,-10.906223466588989
204,2005-10,T,3.9806702583447926,1.026017325655437
854,2005-10,T,2.4243491282626173,-5.165474057621779
132,2005-10,T,2.474989062090983,
384,2005-10,T,0.8219453330313079,-10.068001281406664
270,2005-10,T,0.4197418982621967,0.5086123437421373
288,2005-10,T,2.033449794979452,-29.106999426785645
324,2005-10,T,-2.2567055338167155,-27.83003788167044
624,2005-10,T,0.31103337578963924,-0.14627271860279575
430,2005-10,T,2.5671065092823078,15.21236770656807
466,2005-10,T,5.412603764663141,-1.6501856776763069
478,2005-10,T,7.527500085202118,67.35581894982315
562,2005-10,T,0.31930537733214603,0.5263490458554113
566,2005-10,T,7.011638115557038,-7.624091690474103
654,2005-10,T,3.1123262208748215,
686,2005-10,T,1.4402952726512934,-1.8663776353641512
694,2005-10,T,-8.574107576106883,-30.824769309579036
768,2005-10,T,4.544384704514796,3.7371751920918435
935,2005-10,T,4.221679547069165,1.0057400567940937
5500,2005-10,T,0.09033343538395142,-38.51020559890753
398,2005-10,T,1.4400498064302987,-11.442070779272196
417,2005-10,T,-6.024933486100627,-13.711309184013304
762,2005-10,T,-0.16412669354424098,22.634377177862994
795,2005-10,T,-1.4674121841023993,-103.78137675841386
860,2005-10,T,-1.7142671457330536,-97.30603267294873
906,2005-10,T,2.5080406725099693,-2.2316873528320396
156,2005-10,T,4.4905947630537675,-4.2472486002957455
344,2005-10,T,0.4269424110115725,-26.49507643729403
446,2005-10,T,2.6265239512448586,
408,2005-10,T,1.8623072455337446,
392,2005-10,T,1.1696898498015262,4.568489673454324
496,2005-10,T,6.724464342683027,
410,2005-10,T,12.766225699388716,20.162303936680097
920,2005-10,T,5.673900095159438,-2.3749919048248063
96,2005-10,T,0.43131281439805264,
116,2005-10,T,-6.600632422750598,6.446191500872392
360,2005-10,T,1.065692491025562,12.821927249151916
